,Product_Name,Ram_Rom,battery,display,Resolution,Price,Rating
0,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹12,999",4.3
1,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,999",4.3
2,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
3,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹12,999",4.3
4,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
5,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,999",4.3
6,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
7,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
8,"SAMSUNG Galaxy M12 (Blue, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,969",4.2
9,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,5000 mAh Li-ion Battery,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"₹7,999",4.1
10,"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,"₹15,194",4.2
11,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
12,"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,"₹21,308",4.2
13,SAMSUNG Metro 313 Dual Sim,10 MB RAM | 2 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,"₹2,498",4.3
14,"SAMSUNG Galaxy M11 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,"₹11,464",4.2
15,"SAMSUNG Galaxy M12 (Black, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,349",4.2
16,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
17,"SAMSUNG Galaxy M12 (White, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,909",4.2
18,"SAMSUNG Galaxy M32 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,"₹14,990",4.2
19,"SAMSUNG Galaxy M12 (Black, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,849",4.2
20,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,7000 mAh Lithium-ion Battery,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹25,999",4.3
21,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Battery,16.76 cm (6.6 inch) Full HD+ Display,48MP + 5MP + 2MP | 8MP Front Camera,"₹18,358",4.3
22,"SAMSUNG Galaxy M12 (White, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,380",4.2
23,SAMSUNG GURU GT,153 MB RAM | 153 MB ROM,1 Year Manufacturer Warranty,3.81 cm (1.5 inch) Display,800 mAh Battery,"₹1,999",4.1
24,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹12,999",4.3
25,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,999",4.3
