,Product_Name,Rating,Resolution
0,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
1,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
2,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
3,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4.3,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
4,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
5,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",4.3,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
6,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
7,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
8,"SAMSUNG Galaxy M12 (Blue, 128 GB)",4.2,48MP Rear Camera
9,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",4.1,8MP Rear Camera | 5MP Front Camera
10,"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",4.2,64MP + 8MP + 2MP + 2MP | 20MP Front Camera
11,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
12,"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",4.2,48MP + 8MP + 5MP + 2MP | 13MP Front Camera
13,SAMSUNG Metro 313 Dual Sim,4.3,0.3MP Rear Camera
14,"SAMSUNG Galaxy M11 (Black, 64 GB)",4.2,13MP + 5MP + 2MP | 8MP Front Camera
15,"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,48MP Rear Camera
16,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
17,"SAMSUNG Galaxy M12 (White, 128 GB)",4.2,48MP Rear Camera
18,"SAMSUNG Galaxy M32 (Black, 64 GB)",4.2,64MP + 8MP + 2MP + 2MP | 20MP Front Camera
19,"SAMSUNG Galaxy M12 (Black, 128 GB)",4.2,48MP Rear Camera
20,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",4.3,64MP + 12MP + 5MP + 5MP | 32MP Front Camera
21,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)",4.3,48MP + 5MP + 2MP | 8MP Front Camera
22,"SAMSUNG Galaxy M12 (White, 64 GB)",4.2,48MP Rear Camera
23,SAMSUNG GURU GT,4.1,800 mAh Battery
